"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"TCGA-91-8499-01","False","False","1.28","1.10","0.88","0.42","-0.49","0.03","False","-2.49","1.28","0.13","-0.08","0.05"
"TCGA-64-1678-01","True","False","1.27","-2.23","0.93","-1.89","-2.42","-1.02","False","-3.04","1.27","0.15","-0.10","0.07"
"TCGA-50-6673-01","True","False","1.25","-1.16","0.14","-0.80","-1.22","-1.59","False","-0.10","1.25","0.03","0.08","0.01"
"TCGA-97-7937-01","True","False","1.24","-1.30","0.12","-1.43","-1.51","-1.99","False","-2.08","1.24","0.06","0.01","0.03"
"TCGA-44-6145-01","False","False","1.24","1.67","0.52","1.50","1.37","1.98","True","1.24","-1.10","-0.07","0.08","-0.11"
"TCGA-69-7974-01","False","False","1.23","1.17","0.61","0.88","2.30","0.21","True","1.23","-1.10","-0.04","-0.02","-0.04"
"TCGA-86-7955-01","True","False","1.18","-1.54","0.73","-1.56","-1.72","-1.29","False","-2.83","1.18","0.18","-0.13","0.05"
"TCGA-69-7980-01","False","False","1.17","1.19","0.16","0.73","0.79","0.79","True","1.17","0.25","0.02","0.04","-0.04"
"TCGA-55-8511-01","False","False","1.16","0.49","0.64","0.70","2.12","0.55","True","1.16","0.23","0.01","0.06","-0.04"
"TCGA-73-4659-01","True","False","1.15","-1.45","0.55","-0.80","-0.41","-1.27","False","-0.09","1.15","-0.03","0.09","0.04"
"TCGA-95-A4VN-01","False","False","1.15","1.55","0.55","1.14","3.97","1.41","True","1.15","-1.60","0.01","-0.09","-0.08"
"TCGA-55-8205-01","False","False","1.13","2.58","0.84","1.86","3.20","2.18","True","1.13","-1.65","-0.03","-0.04","-0.09"
"TCGA-05-4417-01","False","False","1.12","0.54","0.35","0.38","-0.06","0.69","True","1.12","0.81","-0.08","0.18","-0.02"
"TCGA-55-7995-01","False","False","1.12","2.18","0.37","1.65","1.00","2.21","True","1.12","-2.64","-0.07","-0.11","-0.07"
"TCGA-05-5429-01","True","False","1.11","-1.78","0.98","-1.38","-2.20","-0.93","False","-1.46","1.11","0.08","-0.02","0.03"
"TCGA-69-7763-01","True","False","1.09","-1.31","0.36","-0.60","-0.60","-0.80","False","0.90","1.09","-0.06","0.16","0.01"
